close,high,low,open,time,volumefrom,volumeto,timestamp
71.87,71.87,71.0,71.0,1508745600,2227.23,158136.68,2017-10-23 01:00:00
71.0,71.87,71.0,71.87,1508749200,666.14,47296.19,2017-10-23 02:00:00
71.0,71.05,71.0,71.0,1508752800,310.0,22010.42,2017-10-23 03:00:00
71.0,71.88,71.0,71.0,1508756400,2147.91,152632.3,2017-10-23 04:00:00
70.5,71.24,70.5,71.0,1508760000,1245.35,88384.87,2017-10-23 05:00:00
71.0,71.4,70.5,70.5,1508763600,757.88,53477.54,2017-10-23 06:00:00
70.5,71.39,70.5,71.0,1508767200,704.57,49693.04,2017-10-23 07:00:00
70.7,71.25,70.0,70.5,1508770800,1049.09,73692.14,2017-10-23 08:00:00
70.9,71.13,70.0,70.7,1508774400,287.69,20176.04,2017-10-23 09:00:00
70.02,71.3,70.02,70.9,1508778000,59.66,4234.19,2017-10-23 10:00:00
70.0,70.96,70.0,70.02,1508781600,195.56,13727.76,2017-10-23 11:00:00
70.5,71.2,70.0,70.0,1508785200,160.29,11258.24,2017-10-23 12:00:00
71.3,71.94,70.5,70.5,1508788800,302.46,21591.81,2017-10-23 13:00:00
71.86,72.31,70.51,71.3,1508792400,74.44,5320.03,2017-10-23 14:00:00
70.45,72.08,70.3,71.86,1508796000,233.04,16423.9,2017-10-23 15:00:00
70.99,71.99,70.22,70.45,1508799600,211.17,14955.31,2017-10-23 16:00:00
70.0,70.99,70.0,70.99,1508803200,420.39,29441.93,2017-10-23 17:00:00
73.98,74.83,70.0,70.0,1508806800,3290.4,241182.01,2017-10-23 18:00:00
73.01,75.0,73.0,73.98,1508810400,936.43,69991.64,2017-10-23 19:00:00
72.5,74.87,72.5,73.01,1508814000,103.28,7588.12,2017-10-23 20:00:00
73.5,74.68,72.5,72.5,1508817600,215.19,15866.82,2017-10-23 21:00:00
74.63,74.63,72.63,73.5,1508821200,19.03,1410.74,2017-10-23 22:00:00
73.0,74.63,73.0,74.63,1508824800,14.79,1091.39,2017-10-23 23:00:00
